Outs,1B,2B,3B,RunEnv_,wOBA,RE,count,State,,,,,
2,1,0,0,3.75,0.35,0.2138,146,2,,,,,
2,1,0,0,4.25,0.36,0.2918,1792,2,,,,,
2,1,0,0,5,0.29,0.375,32,2,,,,,
2,1,0,0,3.75,0.26,0,10,2,,,,,
2,1,0,0,4.5,0.33,0.2176,3288,2,,,,,
2,1,0,0,4.25,0.27,0.0602,249,2,,,,,
2,1,0,0,3.75,0.33,0.2345,227,2,,,,,
2,1,0,0,4.5,0.28,0.0972,361,2,,,,,
2,1,0,0,4.75,0.38,0.3745,276,2,,,,,
2,1,0,0,3.75,0.37,0.12,25,2,,,,,
2,1,0,0,4.5,0.26,0.1837,49,2,,,,,
2,1,0,0,3.75,0.32,0.213,277,2,,,,,
2,1,0,0,5,0.34,0.2342,222,2,,,,,
2,1,0,0,4.25,0.28,0.0739,542,2,,,,,
2,1,0,0,5,0.31,0.1597,121,2,,,,,
2,1,0,0,5,0.33,0.2875,320,2,,,,,
2,1,0,0,5,0.39,0.3636,11,2,,,,,
2,1,0,0,4.5,0.34,0.2576,2580,2,,,,,
2,1,0,0,3.75,0.39,0,12,2,,,,,
2,1,0,0,4,0.26,0.0694,72,2,,,,,
2,1,0,0,5,0.28,0,14,2,,,,,
2,1,0,0,4.25,0.38,0.2937,647,2,,,,,
2,1,0,0,4.25,0.39,0.3503,335,2,,,,,
2,1,0,0,4.25,0.3,0.1696,2277,2,,,,,
2,1,0,0,5,0.27,0,3,2,,,,,
2,1,0,0,4,0.25,0,8,2,,,,,
2,1,0,0,3.75,0.27,0.1538,26,2,,,,,
2,1,0,0,4,0.34,0.2215,2687,2,,,,,
2,1,0,0,4,0.32,0.2097,3610,2,,,,,
2,1,0,0,4,0.39,0.2922,219,2,,,,,
2,1,0,0,4,0.29,0.1167,1460,2,,,,,
2,1,0,0,4,0.4,0.2,40,2,,,,,
2,1,0,0,4,0.31,0.1876,2876,2,,,,,
2,1,0,0,4.75,0.29,0.1285,179,2,,,,,
2,1,0,0,3.75,0.3,0.1526,190,2,,,,,
2,1,0,0,4.5,0.35,0.2607,2153,2,,,,,
2,1,0,0,4.25,0.26,0.0313,64,2,,,,,
2,1,0,0,4.25,0.41,0.3214,56,2,,,,,
2,1,0,0,4.75,0.41,0.7143,7,2,,,,,
2,1,0,0,3.75,0.31,0.1522,230,2,,,,,
2,1,0,0,4.5,0.39,0.4648,258,2,,,,,
2,1,0,0,3.75,0.28,0.0526,38,2,,,,,
2,1,0,0,5,0.36,0.2583,151,2,,,,,
2,1,0,0,4.75,0.35,0.2581,713,2,,,,,
2,1,0,0,4,0.42,0.2381,21,2,,,,,
2,1,0,0,4,0.35,0.226,1877,2,,,,,
2,1,0,0,4,0.36,0.2717,1309,2,,,,,
2,1,0,0,4.5,0.36,0.2663,1540,2,,,,,
2,1,0,0,4.75,0.36,0.2309,486,2,,,,,
2,1,0,0,4.75,0.32,0.2083,1032,2,,,,,
2,1,0,0,4,0.37,0.2632,785,2,,,,,
2,1,0,0,4,0.38,0.3738,404,2,,,,,
2,1,0,0,4.25,0.25,0,3,2,,,,,
2,1,0,0,5,0.32,0.2395,264,2,,,,,
2,1,0,0,4.25,0.33,0.2242,4051,2,,,,,
2,1,0,0,3.75,0.34,0.2366,225,2,,,,,
2,1,0,0,3.75,0.36,0.2097,125,2,,,,,
2,1,0,0,4.25,0.29,0.1394,1215,2,,,,,
2,1,0,0,4,0.3,0.1379,2119,2,,,,,
2,1,0,0,4.75,0.28,0.0741,81,2,,,,,
2,1,0,0,3.75,0.4,0,6,2,,,,,
2,1,0,0,4,0.41,0,3,2,,,,,
2,1,0,0,4.5,0.38,0.2958,524,2,,,,,
2,1,0,0,4.75,0.37,0.2968,348,2,,,,,
2,1,0,0,5,0.37,0.2155,118,2,,,,,
2,1,0,0,5,0.35,0.2992,245,2,,,,,
2,1,0,0,5,0.4,0,5,2,,,,,
2,1,0,0,4.5,0.32,0.2148,3343,2,,,,,
2,1,0,0,4.25,0.31,0.1851,3347,2,,,,,
2,1,0,0,4.25,0.42,0.4,10,2,,,,,
2,1,0,0,4,0.33,0.2129,3506,2,,,,,
2,1,0,0,4.25,0.34,0.2468,3315,2,,,,,
2,1,0,0,4.5,0.42,0.7857,14,2,,,,,
2,1,0,0,4.25,0.37,0.2402,1123,2,,,,,
2,1,0,0,4.5,0.37,0.3126,901,2,,,,,
2,1,0,0,4,0.28,0.0962,676,2,,,,,
2,1,0,0,5,0.38,0.2442,87,2,,,,,
2,1,0,0,4.75,0.34,0.3303,867,2,,,,,
2,1,0,0,4.25,0.32,0.1845,4733,2,,,,,
2,1,0,0,3.75,0.38,0.2,5,2,,,,,
2,1,0,0,4.5,0.41,0.1622,37,2,,,,,
2,1,0,0,4.75,0.26,0,6,2,,,,,
2,1,0,0,4,0.27,0.0587,376,2,,,,,
2,1,0,0,4.75,0.3,0.1675,419,2,,,,,
2,1,0,0,4.5,0.4,0.2931,116,2,,,,,
2,1,0,0,4.75,0.4,0.6389,36,2,,,,,
2,1,0,0,4.5,0.27,0.089,146,2,,,,,
2,1,0,0,4.5,0.3,0.1993,1783,2,,,,,
1,0,0,0,3.75,0.29,0.1646,328,3,,,,,
1,0,0,0,5,0.37,0.3559,340,3,,,,,
1,0,0,0,5,0.4,0.5,12,3,,,,,
1,0,0,0,4,0.39,0.3229,478,3,,,,,
1,0,0,0,4.25,0.37,0.2998,2608,3,,,,,
1,0,0,0,3.75,0.27,0.1059,85,3,,,,,
1,0,0,0,4.25,0.27,0.1405,719,3,,,,,
1,0,0,0,4,0.25,0,19,3,,,,,
1,0,0,0,4.5,0.34,0.3025,7749,3,,,,,
1,0,0,0,4,0.42,0.3793,30,3,,,,,
1,0,0,0,4.5,0.26,0.0855,117,3,,,,,
1,0,0,0,4.25,0.28,0.2206,1645,3,,,,,
1,0,0,0,4,0.32,0.2283,10179,3,,,,,
1,0,0,0,3.75,0.28,0.2014,144,3,,,,,
1,0,0,0,3.75,0.34,0.2366,597,3,,,,,
1,0,0,0,4.25,0.26,0.2215,149,3,,,,,
1,0,0,0,4,0.36,0.2682,3289,3,,,,,
1,0,0,0,4.5,0.41,0.3488,86,3,,,,,
1,0,0,0,4,0.41,0.0833,12,3,,,,,
1,0,0,0,4.5,0.36,0.2922,3650,3,,,,,
1,0,0,0,4.25,0.4,0.2899,278,3,,,,,
1,0,0,0,4.5,0.27,0.1429,364,3,,,,,
1,0,0,0,4.5,0.42,0.2174,23,3,,,,,
1,0,0,0,3.75,0.42,0.0769,13,3,,,,,
1,0,0,0,4.25,0.31,0.2263,10075,3,,,,,
1,0,0,0,4.5,0.4,0.4107,224,3,,,,,
1,0,0,0,5,0.33,0.2819,794,3,,,,,
1,0,0,0,4,0.33,0.2356,10359,3,,,,,
1,0,0,0,4.25,0.35,0.2844,7615,3,,,,,
1,0,0,0,4.5,0.38,0.3425,1164,3,,,,,
1,0,0,0,4.25,0.29,0.1988,3324,3,,,,,
1,0,0,0,4.5,0.31,0.2437,7711,3,,,,,
1,0,0,0,3.75,0.35,0.3038,397,3,,,,,
1,0,0,0,3.75,0.36,0.2601,374,3,,,,,
1,0,0,0,3.75,0.31,0.1992,729,3,,,,,
1,0,0,0,3.75,0.3,0.1929,540,3,,,,,
1,0,0,0,5,0.38,0.2545,169,3,,,,,
1,0,0,0,4.75,0.39,0.3043,115,3,,,,,
1,0,0,0,5,0.35,0.354,809,3,,,,,
1,0,0,0,4.75,0.36,0.3092,1319,3,,,,,
1,0,0,0,4.5,0.33,0.2785,9991,3,,,,,
1,0,0,0,4.75,0.34,0.2978,2386,3,,,,,
1,0,0,0,4.75,0.29,0.2387,601,3,,,,,
1,0,0,0,4.5,0.29,0.1851,2605,3,,,,,
1,0,0,0,5,0.29,0.2404,104,3,,,,,
1,0,0,0,4.75,0.27,0.2333,90,3,,,,,
1,0,0,0,4.25,0.36,0.3037,4228,3,,,,,
1,0,0,0,3.75,0.26,0.25,16,3,,,,,
1,0,0,0,4,0.34,0.2484,7786,3,,,,,
1,0,0,0,4.5,0.37,0.317,2105,3,,,,,
1,0,0,0,5,0.31,0.2861,376,3,,,,,
1,0,0,0,4.75,0.35,0.3065,2270,3,,,,,
1,0,0,0,4.25,0.32,0.2311,14207,3,,,,,
1,0,0,0,4.25,0.41,0.2612,134,3,,,,,
1,0,0,0,4.75,0.32,0.2732,2762,3,,,,,
1,0,0,0,5,0.34,0.325,647,3,,,,,
1,0,0,0,4,0.29,0.195,4102,3,,,,,
1,0,0,0,4.75,0.4,0.4182,110,3,,,,,
1,0,0,0,3.75,0.33,0.2263,738,3,,,,,
1,0,0,0,3.75,0.37,0.3973,74,3,,,,,
1,0,0,0,5,0.39,0.4231,27,3,,,,,
1,0,0,0,5,0.3,0.2379,248,3,,,,,
1,0,0,0,4.25,0.39,0.2592,737,3,,,,,
